FID;fid_;E;N;ADA_ID;VELOCITY;X;Y;SATELLITE;GEOMETRY;TRACK;FRAME;INIT_DATE;FINAL_DATE;PIXEL_SIZE;SOFTWARE;PAPERS;COHERENCE;Lon_ETRS89;Lat_ETRS89;MEAN_VLOS;Lon_WGS84;Lat_WGS84;PS_ID;DESC_UNIT;GeoUnif;Masas_subt;aguas_supf;emb_aux;red_trans;Moves;SubsEsp;QAFI_trace;QAFI_vecto;CODE_18;pendientes;Subsidence;Proceso
0;3;608055,779631000012159;4159781,933619999792427;30;-0,698700000000000;-1,776250000000000;37,578749999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608055,779631000012159;4159781,933619999792427;-0,698700000000000;-1,776000000000000;37,578749999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.776_37.57875;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;1,376370000000000;4;Sub_Agua
1;4;608136,302137000020593;4159228,135559999849647;30;-0,705100000000000;-1,775420000000000;37,573749999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608136,302137000020593;4159228,135559999849647;-0,705100000000000;-1,775000000000000;37,573749999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.775_37.57375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;1,191720000000000;3;Sub_Agua
2;7;608278,954312999965623;4159599,524809999857098;30;-1,128300000000000;-1,773750000000000;37,577080000000002;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608278,954312999965623;4159599,524809999857098;-1,128300000000000;-1,774000000000000;37,577080000000002;S1_DESC_SPA_MURC_20150227_20210607_-1.774_37.57708;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;1,520330000000000;4;Sub_Agua
3;8;608281,358456999994814;4159415,346729999873787;30;-1,070200000000000;-1,773750000000000;37,575420000000001;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608281,358456999994814;4159415,346729999873787;-1,070200000000000;-1,774000000000000;37,575420000000001;S1_DESC_SPA_MURC_20150227_20210607_-1.774_37.57542;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;1,384880000000000;4;Sub_Agua
4;9;608283,776992000057362;4159230,059179999865592;30;-0,972600000000000;-1,773750000000000;37,573749999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608283,776992000057362;4159230,059179999865592;-0,972600000000000;-1,774000000000000;37,573749999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.774_37.57375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;1,188760000000000;3;Sub_Agua
5;10;608287,397380999987945;4158952,682719999924302;30;-0,976100000000000;-1,773750000000000;37,571249999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608287,397380999987945;4158952,682719999924302;-0,976100000000000;-1,774000000000000;37,571249999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.774_37.57125;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;1,576150000000000;3;Sub_Agua
6;11;608288,599304000032134;4158860,593750000000000;30;-0,801600000000000;-1,773750000000000;37,570419999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608288,599304000032134;4158860,593750000000000;-0,801600000000000;-1,774000000000000;37,570419999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.774_37.57042;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;1,316280000000000;3;Sub_Agua
7;12;608345,000088999979198;4160155,235489999875426;30;-1,096900000000000;-1,772920000000000;37,582079999999998;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608345,000088999979198;4160155,235489999875426;-1,096900000000000;-1,773000000000000;37,582079999999998;S1_DESC_SPA_MURC_20150227_20210607_-1.773_37.58208;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;222;1,128480000000000;4;Sub_Agua
8;13;608355,870057999971323;4159323,105229999870062;30;-1,061700000000000;-1,772920000000000;37,574579999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608355,870057999971323;4159323,105229999870062;-1,061700000000000;-1,773000000000000;37,574579999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.773_37.57458;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;1,022890000000000;3;Sub_Agua
9;14;608431,251871000044048;4159231,985429999884218;30;-1,444200000000000;-1,772080000000000;37,573749999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608431,251871000044048;4159231,985429999884218;-1,444200000000000;-1,772000000000000;37,573749999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.772_37.57375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;1,077360000000000;3;Sub_Agua
10;15;608436,080752999987453;4158862,519940000027418;30;-0,824000000000000;-1,772080000000000;37,570419999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608436,080752999987453;4158862,519940000027418;-0,824000000000000;-1,772000000000000;37,570419999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.772_37.57042;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;242;1,538060000000000;3;Sub_Agua
11;16;608490,034614000003785;4160342,451020000036806;30;-1,248400000000000;-1,771250000000000;37,583750000000002;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608490,034614000003785;4160342,451020000036806;-1,248400000000000;-1,771000000000000;37,583750000000002;S1_DESC_SPA_MURC_20150227_20210607_-1.771_37.58375;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;0,953880000000000;4;Sub_Agua
12;17;608503,343311000033282;4159325,032800000160933;30;-1,199000000000000;-1,771250000000000;37,574579999999997;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608503,343311000033282;4159325,032800000160933;-1,199000000000000;-1,771000000000000;37,574579999999997;S1_DESC_SPA_MURC_20150227_20210607_-1.771_37.57458;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;1,310850000000000;3;Sub_Agua
13;18;608571,788014000048861;4159696,567090000025928;30;-1,263300000000000;-1,770420000000000;37,577919999999999;S1;DESC;8; ;20150227;20210607;90;P-SBAS; ;0,700000000000000;608571,788014000048861;4159696,567090000025928;-1,263300000000000;-1,770000000000000;37,577919999999999;S1_DESC_SPA_MURC_20150227_20210607_-1.77_37.57792;Coluviales y aluviales indiferenciados;Unconsolidated Sediments;1; ; ;0; ; ;1;1;212;1,818910000000000;4;Sub_Agua
